Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,pain,a bothersome annoying person,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,0,0,0,6,0.27,539,4.96,2.96,2.62,0.1796410953,0.1922369699
control,pain,something or someone that causes trouble; a source of unhappiness,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,0,0,0,6.29,0.55,538.29,4.21,2.45,3.67,0.1816920315,0.1929615966
control,pain,cause bodily suffering to and make sick or indisposed,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,1,1,1,2.57,1.63,476.33,5.99,2.48,2.59,0.2009758957,0.2055397198
control,pain,cause emotional anguish or make miserable,highly unpleasant physical sensation caused by illness or injury; mental suffering or distress,Doi: 10.4025/actascilangcult.v38i4.29503,0,0,1,2.17,4.68,501,5.3,2.29,2.62,0.2695082093,0.2634761743
control,harness,a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute),to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,0,1,1,5.31,1.07,496.29,5.07,3.18,3.62,0.104200902,0.1235681974
control,harness,stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart,to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,1,1,1,5.37,1.39,462.18,4.87,3.78,2.93,0.1956381831,0.1545656077
control,harness,put a harness,to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,1,1,1,5.5,0,551,5.22,3.32,2.35,0.1846425086,0.1478799433
control,harness,exploit the power of,to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,0,0,0,2,4.74,420.5,5.74,1.86,3.23,0.2684757113,0.3121056408
control,harness,control and direct with or as if by reins,to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,0,0,0,3,5.71,597,6.08,2.04,3.67,0.2379322879,0.1719816948
control,harness,keep in check,to put a harness on a horse or other draught anima,oai:DiVA.org:su-171437,0,0,0,4.33,1e+300,500,3.94,3.24,3,0.09376905113,0.1326708365
control,impact,the striking of one body against another,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,1,0,1,4,1.02,467.5,4.85,3.58,2.7,0.05499818898,0.0616525095
control,impact,a forceful consequence; a strong effect,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,0,0,0,5.17,2.06,486.2,4.96,2.41,4.04,0.3564909771,0.3128905557
control,impact,influencing strongly,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,0,0,0,1,,559.5,3.43,2.39,2.57,0.2796523012,0.1911062561
control,impact,the violent interaction of individuals or groups entering into combat,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,0,1,0,5,2.13,475,5.35,3.44,2.97,0.07894404636,0.113840978
control,impact,press or wedge together; pack together,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,0,1,1,2.67,2.76,478.33,4.36,3.52,3.49,0.05509428941,0.03037868105
control,impact,have an effect upon,the force with which one object hits another.,https://doi.org/10.1515/ijdlg-2024-0016,0,0,0,4.33,0,540.5,5.43,2.32,2.9,0.3897644728,0.3586010039
control,comply,"act in accordance with someone's rules, commands, or wishes","to obey a rule or law, or to do what someone asks you to do, which in the context of war refers to the relationship between a commander and subordinates, or between the military and captives",https://doi.org/10.1515/ijdlg-2024-0016,1,1,1,3.88,0,496,4.61,2.41,3.41,0.2548226801,0.1711942609
control,interact,act together or towards others or with others,"if two or more people interact, or if one person interacts with another, they communicate with one another and react to one another, often while performing an activity together, meaning that both parties involved in the interaction are natural persons",https://doi.org/10.1515/ijdlg-2024-0016,1,1,1,4.75,0,498.6,4.17,2.66,2.61,0.1838592526,0.1453470115
control,robust,"sturdy and strong in form, constitution, or construction",..a robust person. who is strong and healthy,https://doi.org/10.1515/ijdlg-2024-0016,1,1,1,4.71,,467.29,5.48,3.22,3.46,0.368238017,0.2808958195
control,robust,marked by richness and fullness of flavor,..a robust person. who is strong and healthy,https://doi.org/10.1515/ijdlg-2024-0016,0,0,0,4,,371,4.8,3.01,3.12,0.06402258889,0.1016558153
control,robust,strong enough to withstand or overcome intellectual challenges or adversity,..a robust person. who is strong and healthy,https://doi.org/10.1515/ijdlg-2024-0016,0,0,0,4.33,,434.83,4.49,2.04,3.42,0.2519834393,0.2158569044
control,robust,rough and crude,..a robust person. who is strong and healthy,https://doi.org/10.1515/ijdlg-2024-0016,0,0,1,0,,469.5,6.66,2.9,3.87,0.2337757498,0.1766674891
control,resilience,the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit,"someone.s ability to become healthy, happy, or strong again after an illness, disappointment, or other problem.",https://doi.org/10.1515/ijdlg-2024-0016,,1,1,4.53,0.54,537.09,4.87,3,2.67,0.1297186186,0.1022062228
control,resilience,an occurrence of rebounding or springing back,"someone.s ability to become healthy, happy, or strong again after an illness, disappointment, or other problem.",https://doi.org/10.1515/ijdlg-2024-0016,,0,1,5.17,0.4,509.5,5.11,3.5,3.52,0.1236116546,0.1500573289
control,far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,5.46,0.97,465.22,4.87,2.77,2.84,0.01515427756,0.0534971945
control,far,located at a great distance in time or space or degree,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",1,1,0,5.27,,503.83,5.29,2.92,3.54,0.2080150358,0.1521013069
control,far,being of a considerable distance or length,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",1,0,1,3.67,,446.67,4.38,3.13,2.4,0.3110381812,0.1653330103
control,far,being the animal or vehicle on the right or being on the right side of an animal or vehicle,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,3.27,,471.57,3.9,4.16,2.34,0.06374284944,0.1071691077
control,far,beyond a norm in opinion or actions,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,5.57,,480,3.92,2.15,2.73,0.2047605658,0.1944279671
control,far,to a considerable degree; very much,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,2.4,,522.5,4.3,2.28,3.57,0.257008329,0.2801254739
control,far,at or to or from a great distance in space,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",1,1,1,6.12,,483.33,5.39,2.84,3.52,0.2665667608,0.181288374
control,far,at or to a certain point or degree,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,6.43,,478.33,3.67,2.69,3.78,0.1112813763,0.1472107346
control,far,remote in time,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,4.33,,578.5,4.93,3.26,3.81,0.3196263537,0.1468706243
control,far,to an advanced stage or point,far used to talk about distance,"ISSN:.1860-7349,.1860-7330",0,0,0,6.4,,497.67,4.13,3.29,2.83,0.1433213813,0.1551138759
control,build,constitution of the human body,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,6.33,0.3,517.33,5.74,4.32,3.93,0.1117993345,0.03596259064
control,build,alternative names for the body of a human being,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,4.83,0.78,480.25,5.38,3.92,3.16,0.06127468171,0.0799698073
control,build,make by combining materials and parts,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,1,1,1,3.8,6.63,383,5.72,3.34,2.84,0.1569528361,0.2133059818
control,build,form or accumulate steadily,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,3.25,0,490,3.68,2.83,3.18,0.1680652679,0.1976155713
control,build,build or establish something abstract,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,3.33,8.41,521,4.85,2.24,3.33,0.2485594973,0.2680143661
control,build,improve the cleansing action of,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,1.67,0,532,3.38,2.48,2.3,0.1363991462,0.1812730767
control,build,"order, supervise, or finance the construction of",to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,1,6.6,8.67,525.83,5.79,3.09,3.59,0.1847437941,0.2099365517
control,build,"give form to, according to a plan",to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,2.6,0,500.4,4.79,2.75,3.36,0.1626176457,0.2005573143
control,build,be engaged in building,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,1,2.25,3.81,493.5,5.63,3.5,2.71,0.2753411566,0.2784866448
control,build,found or ground,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,3.67,0,477.5,4.58,3.65,4.29,0.1636279859,0.1240053587
control,build,bolster or strengthen,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,4,1.46,538.5,5.03,2.19,2.14,0.2970851734,0.4296589643
control,build,develop and grow,to make something by putting bricks or other materials togethe,https://doi.org/10.35516/hum.v49i5.3468,0,0,0,3,2.65,542,4.82,2.45,3.13,0.5031419396,0.5565244257
control,duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,1,1,1,4.5,0.7,474.17,5.06,3.52,3.09,0.1160223976,0.190518851
control,duck,(cricket) a score of nothing by a batsman,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,,0,6.14,0.9,535.17,5.57,3.45,4.02,0.05990235554,0.1617092211
control,duck,flesh of a duck (domestic or wild),"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,1,0,4.8,1.65,497.5,5.02,3.61,3.48,0.1241795346,0.1933073923
control,duck,a heavy cotton fabric of plain weave; used for clothing and tents,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,1,0,4.11,1.35,455.75,4.82,3.79,3.21,0.05318254221,0.1079380726
control,duck,to move (the head or body) quickly downwards or away,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,0,0,3.12,0,393.62,4.89,3.48,2.78,0.02647802971,0.1113354713
control,duck,submerge or plunge suddenly,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,0,0,3.5,1.85,502,5.61,2.76,3.35,0.119198675,0.1546642631
control,duck,dip into a liquid,"any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,1,0,4,0,406,3.66,4.47,2.9,0.1234134748,0.1364336647
control,duck,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)","any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.",DOI: 10.13189/lls.2016.040508,0,0,0,4.58,0,482,5.27,2.49,3.69,0.03330768448,0.0879865535
